Recurrent_Trader,Day_Trader,Lottery_Stock_Trader,Smoker,Alcohol_User,Male_Investor,Single_Investor,Needs_Returns_For_Expenses,Derivative_User,Margin_User,High_Education,Underdiversified_Portfolio,Young_Investor,Low_Income,Overconfident_SelfView,Low_Experience,Highly_Overconfident_Interval,Has_Gambling_Habit,High_Stress,High_Risk_Tolerance,Trading_Addiction_SelfReport,Low_Financial_Literacy
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1
1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1
0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0
1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0
1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,1,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1
0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1
0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0
0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1
0,1,1,1,1,1,0,1,1,0,1,,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,1,0,0,0,0,,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1
1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,1,0,1,0,1,1,,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1
1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0
0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0
1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0
1,0,1,0,0,1,1,1,0,0,0,,1,1,0,0,0,0,0,1,1,0
1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1
1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1
1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1
1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
1,1,1,1,1,1,1,0,0,0,0,,1,1,0,1,0,0,0,0,1,1
1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0
1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1
1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1
